ESTU_GENERO,EDAD,ESTU_COMOCAPACITOEXAMENSB11,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_TIENECONSOLAVIDEOJUEGOS,MOD_RAZONA_CUANTITATIVO_PNAL,MOD_LECTURA_CRITICA_PNAL,MOD_COMPETEN_CIUDADA_PNAL,MOD_INGLES_PNAL,MOD_COMUNI_ESCRITA_PNAL,PUNT_GLOBAL,GRUPO
1,20,2,4,5,4,0,87,98,97,88,91.0,196,1
0,26,1,2,2,1,0,8,30,14,17,92.0,132,0
0,21,1,2,2,2,0,23,83,65,71,44.0,155,2
0,28,1,4,2,2,0,67,62,55,17,21.0,146,2
1,29,1,6,8,2,0,50,42,45,29,25.0,141,2
1,24,2,2,1,2,0,45,35,41,16,61.0,140,2
1,27,1,4,0,1,1,67,5,43,31,70.0,142,2
1,27,1,2,2,2,0,60,69,47,21,39.0,147,2
0,22,2,1,4,1,0,94,90,73,78,27.0,173,1
0,20,1,4,5,2,0,52,3,30,49,71.0,139,2
0,23,0,1,8,2,0,21,73,42,8,97.0,150,2
0,20,1,0,4,2,1,75,79,56,44,14.0,152,2
0,22,2,4,5,5,1,60,56,59,77,38.0,157,2
1,30,1,8,2,2,0,57,87,94,51,51.0,165,1
1,21,0,8,8,1,0,81,86,94,73,50.0,174,1
1,22,2,4,0,1,0,11,2,5,1,28.0,102,0
0,25,1,0,0,3,0,87,66,79,65,64.0,169,1
0,24,1,7,3,6,1,36,69,54,80,58.0,157,2
0,26,1,2,5,1,0,64,23,44,24,1.0,114,0
1,25,2,0,0,2,0,80,85,62,96,61.0,176,1
0,40,1,0,2,2,0,24,20,35,58,67.0,141,2
0,23,0,1,4,3,0,77,94,98,84,77.0,187,1
0,20,1,4,1,1,0,74,67,36,72,56.0,158,2
0,34,1,5,4,3,0,44,40,25,44,56.0,141,2
0,28,2,2,0,2,0,46,40,17,43,23.0,136,0
0,20,1,2,0,1,0,44,47,29,31,29.0,138,2
1,20,1,7,4,3,0,43,81,58,95,16.0,160,1
0,36,1,2,2,2,1,4,32,21,26,22.0,122,0
0,23,0,10,10,1,0,3,6,23,11,2.0,104,0
1,23,1,4,0,2,0,45,65,78,38,76.0,158,2
0,22,1,0,2,1,0,12,6,14,12,15.0,111,0
1,29,1,2,4,3,1,82,68,61,54,76.0,166,1
1,21,1,8,8,3,0,78,89,49,80,49.0,167,1
0,22,1,4,8,2,1,26,44,59,74,32.0,148,2
0,22,1,4,7,1,0,91,53,70,32,27.0,156,2
1,21,2,5,4,3,0,64,61,60,52,95.0,166,1
1,20,1,3,4,2,0,86,98,98,90,93.0,197,1
1,23,1,4,8,1,0,76,67,65,58,62.0,162,1
0,25,1,2,2,1,0,27,10,3,44,1.0,95,0
0,30,1,2,5,2,0,67,33,26,25,38.0,139,2
1,22,1,4,0,2,1,64,67,73,78,57.0,164,1
1,23,0,3,8,5,1,50,22,82,79,93.0,165,1
1,25,0,2,2,1,0,22,5,22,63,10.0,123,0
1,19,1,5,5,1,0,81,62,87,71,73.0,172,1
0,23,2,0,0,1,0,25,28,42,63,1.0,114,0
0,24,1,0,4,3,0,42,25,78,85,74.0,160,2
0,42,1,1,2,1,0,9,2,6,10,1.0,82,0
0,20,1,2,2,2,0,74,73,68,73,72.0,169,1
1,22,2,0,4,2,0,85,85,95,49,54.0,171,1
1,21,2,8,8,4,1,94,98,100,99,90.0,222,1
0,21,2,4,4,2,0,31,7,59,25,36.0,132,0
1,20,1,4,7,1,0,87,26,30,16,60.0,143,2
0,21,1,3,7,5,0,75,84,89,92,75.0,182,1
1,22,1,1,5,2,1,94,84,33,60,37.0,163,2
1,27,2,8,10,3,0,63,9,16,58,16.0,133,0
1,23,1,4,0,3,1,81,96,57,38,84.0,171,1
1,21,1,3,3,3,1,58,88,100,89,56.0,195,1
1,21,2,8,1,1,0,17,76,75,57,49.0,152,2
0,33,1,2,0,3,1,30,37,40,43,22.0,137,0
0,23,2,4,0,2,0,65,63,41,17,26.0,144,2
0,28,1,2,0,2,0,42,33,49,33,27.0,139,2
0,20,2,8,10,3,0,19,69,31,63,28.0,143,2
1,21,1,3,8,3,0,83,5,25,44,37.0,138,2
0,21,1,8,8,6,1,26,39,31,94,1.0,123,0
1,24,1,9,0,2,1,84,83,85,74,89.0,181,1
0,22,1,5,4,2,0,21,8,30,53,42.0,131,0
0,24,1,4,10,2,0,85,79,80,98,78.0,184,1
0,23,2,0,0,1,0,55,28,25,67,63.0,147,2
1,37,2,0,4,1,0,1,6,6,20,1.0,94,0
0,19,1,2,1,2,0,10,31,12,48,19.0,125,0
1,21,0,2,4,3,0,73,59,50,45,17.0,149,2
1,21,1,2,0,1,0,83,85,83,46,96.0,177,1
0,20,1,2,0,3,1,52,43,45,43,63.0,148,2
0,31,2,4,2,3,0,5,14,20,3,1.0,88,0
1,38,1,2,2,3,0,2,1,11,10,20.0,100,0
1,22,1,4,4,1,1,28,11,39,49,31.0,134,0
1,21,0,4,10,1,0,54,28,32,12,1.0,108,0
1,44,1,1,0,3,0,86,57,98,61,33.0,168,1
1,19,2,5,4,2,0,86,61,49,52,64.0,161,2
0,25,1,1,1,2,0,65,76,99,56,64.0,172,1
1,28,1,0,0,4,1,57,81,62,55,45.0,157,2
0,31,1,2,0,3,0,2,2,16,19,1.0,99,0
1,23,2,11,2,2,1,77,14,54,23,63.0,145,2
0,22,1,5,2,3,0,37,22,18,4,9.0,118,0
0,32,1,11,8,4,0,31,18,46,56,69.0,144,2
0,21,0,11,8,1,0,63,26,12,50,92.0,148,2
0,20,0,2,1,1,0,8,16,7,30,1.0,107,0
1,21,1,8,8,4,0,93,96,98,99,62.0,195,1
0,24,2,2,3,2,0,67,74,79,79,56.0,167,1
0,22,1,3,4,2,0,22,24,14,12,68.0,129,0
1,20,1,3,8,3,0,57,57,59,85,35.0,158,2
0,22,1,2,4,2,0,62,87,75,69,64.0,168,1
0,20,0,4,8,4,0,95,92,88,97,86.0,194,1
0,21,1,10,5,3,0,49,43,29,45,18.0,139,2
1,33,2,0,2,4,1,100,97,100,96,23.0,197,1
0,22,0,8,2,4,0,48,42,63,82,70.0,160,2
1,21,2,7,8,2,0,73,100,100,98,53.0,194,1
1,38,1,2,2,2,0,9,11,23,14,9.0,113,0
1,24,2,2,2,2,0,15,17,24,63,51.0,133,0
1,22,1,5,5,2,0,77,73,69,81,89.0,175,1
0,25,1,10,4,3,0,16,18,24,3,60.0,123,0
1,21,1,3,8,3,0,96,74,98,73,44.0,178,1
0,30,2,2,2,2,0,45,65,56,69,29.0,153,2
0,21,2,2,4,3,1,22,55,81,63,81.0,159,2
1,37,1,0,4,3,0,88,88,89,69,46.0,174,1
0,20,2,5,0,3,0,86,82,88,52,6.0,160,1
0,19,2,7,3,3,0,63,93,61,86,25.0,167,1
1,23,1,4,10,1,0,21,33,28,49,1.0,124,0
0,42,1,1,1,3,1,54,27,35,61,54.0,145,2
0,22,1,11,4,3,0,52,49,47,25,16.0,140,2
0,27,1,5,1,2,0,47,18,51,32,45.0,139,2
0,20,1,8,8,2,0,66,86,55,47,80.0,165,1
0,23,1,4,5,2,0,53,47,57,16,59.0,145,2
0,24,2,8,4,4,0,73,93,85,91,44.0,176,1
0,23,1,0,10,2,0,94,97,90,72,98.0,194,1
0,21,1,8,5,4,1,20,37,31,66,16.0,136,0
0,20,2,5,7,2,0,37,34,53,60,3.0,136,2
0,30,2,2,0,3,0,3,5,9,3,15.0,102,0
0,25,1,2,2,2,0,33,67,54,13,72.0,148,2
