MOD_RAZONA_CUANTITATIVO_PNAL,MOD_LECTURA_CRITICA_PNAL,MOD_COMPETEN_CIUDADA_PNAL,MOD_INGLES_PNAL,MOD_COMUNI_ESCRITA_PNAL,PUNT_GLOBAL,id_unico
5,41,56,6,94.0,140,87544
20,47,9,28,6.0,120,57066
85,14,24,77,58.0,150,184283
90,64,90,66,60.0,171,29574
34,71,50,95,80.0,167,60157
75,84,90,92,40.0,175,213397
17,17,7,52,1.0,99,155685
51,7,28,11,24.0,126,188492
61,87,63,85,42.0,166,51363
81,89,96,5,20.0,160,209823
20,75,78,59,61.0,155,176693
54,56,38,54,19.0,146,232533
88,86,89,98,83.0,190,175316
35,16,22,43,91.0,143,168349
47,55,64,52,83.0,159,22107
34,81,56,58,87.0,162,218914
6,7,6,20,1.0,86,100691
47,49,36,30,68.0,146,245093
80,72,65,50,84.0,168,161856
39,51,48,49,37.0,146,140174
82,83,82,65,88.0,177,77886
60,7,25,6,25.0,126,191268
74,77,69,62,94.0,173,168895
78,52,88,99,93.0,185,20451
50,39,11,14,33.0,130,203645
76,61,65,63,43.0,159,55174
14,5,11,8,7.0,107,49711
46,34,55,72,52.0,150,137016
51,54,70,54,97.0,165,194345
41,14,13,35,5.0,120,237626
77,46,46,77,55.0,158,46904
60,79,69,88,39.0,165,202578
91,97,80,98,86.0,194,6314
90,49,85,80,48.0,169,174612
66,44,35,83,83.0,162,192123
70,54,88,89,16.0,163,187163
50,40,59,5,85.0,147,238816
1,9,7,3,1.0,78,105662
4,42,10,9,25.0,117,164444
28,33,35,43,18.0,135,113535
59,45,37,15,51.0,141,113500
4,1,6,1,51.0,80,32663
64,38,68,44,76.0,157,210509
28,71,96,78,73.0,168,23170
64,51,51,57,72.0,158,79431
76,100,98,97,93.0,200,159756
24,60,36,21,27.0,136,162316
61,73,92,94,43.0,172,44382
16,26,23,42,41.0,131,232321
99,46,50,58,65.0,166,142944
32,25,25,47,48.0,136,197568
33,89,85,87,83.0,174,52157
50,67,39,51,68.0,154,115388
33,59,77,36,84.0,157,170480
16,11,8,58,1.0,98,158597
45,39,25,18,73.0,141,94501
84,78,84,30,100.0,179,219849
99,85,79,77,77.0,184,116794
42,72,85,16,90.0,160,243850
4,4,5,28,10.0,103,12983
86,95,92,89,89.0,191,909
97,92,82,94,70.0,189,197155
38,33,26,48,44.0,139,52059
60,47,69,65,20.0,152,22631
22,34,13,1,70.0,123,202403
6,20,34,86,7.0,130,215469
52,21,11,48,18.0,131,204582
66,96,73,84,94.0,183,68401
51,85,75,95,92.0,180,206833
14,5,18,5,15.0,111,187037
5,8,5,19,37.0,111,131310
81,80,82,69,93.0,178,12661
100,96,96,93,63.0,196,203706
58,65,72,40,90.0,163,42169
77,56,73,88,77.0,172,87019
18,9,17,73,65.0,135,185932
40,21,15,34,41.0,131,234246
8,29,25,38,3.0,119,84431
32,22,57,34,70.0,144,218001
91,79,53,52,45.0,163,27266
86,88,82,85,12.0,169,239433
60,69,56,35,27.0,150,173408
58,81,40,23,30.0,147,139878
36,55,41,21,43.0,140,214321
6,8,14,87,1.0,103,22757
85,89,89,67,72.0,178,164996
99,83,86,92,1.0,169,46239
23,26,29,41,49.0,134,163588
15,21,15,55,20.0,127,12968
45,96,70,26,9.0,149,229359
13,9,2,26,6.0,105,106439
92,84,36,76,1.0,139,190391
80,73,88,81,45.0,171,96310
64,81,97,90,69.0,180,226216
30,46,35,14,50.0,135,178360
61,93,89,70,21.0,167,113391
11,34,64,49,1.0,112,77365
62,95,91,62,60.0,171,21486
22,52,31,28,63.0,140,14073
55,27,53,35,29.0,142,110983
38,49,65,64,4.0,142,19974
30,46,35,77,30.0,145,20925
7,1,6,11,15.0,101,229976
46,56,71,3,27.0,140,6162
67,69,80,81,24.0,163,25464
62,80,53,22,27.0,149,95250
34,45,56,35,1.0,116,186171
31,32,22,44,1.0,109,28372
91,87,51,98,84.0,185,226233
28,67,85,60,15.0,150,133041
26,36,21,61,75.0,144,26380
45,48,60,40,96.0,158,49932
91,94,86,85,95.0,190,177845
81,96,96,90,79.0,190,210262
86,64,81,68,86.0,174,55917
14,7,5,36,42.0,117,84148
70,83,73,50,77.0,167,190721
85,58,49,83,67.0,168,166272
40,10,51,39,44.0,136,151944
70,83,87,92,68.0,178,124200
36,38,36,46,57.0,142,20388
42,27,31,22,70.0,140,234884
3,2,4,4,29.0,101,218038
78,50,56,83,87.0,170,69446
72,86,92,85,1.0,147,72515
5,15,2,49,3.0,107,180974
41,33,37,46,10.0,134,152613
54,75,27,48,62.0,151,226496
5,14,6,4,25.0,109,228750
48,91,43,84,25.0,160,58487
95,97,97,97,51.0,192,52823
34,27,29,18,1.0,105,202537
18,23,17,42,18.0,126,9815
62,80,69,80,82.0,172,166438
4,30,26,4,49.0,121,228159
36,36,31,33,48.0,137,209220
85,70,69,66,88.0,173,187573
89,88,43,56,40.0,163,105839
29,26,54,22,35.0,135,14141
6,20,34,7,1.0,95,74667
5,1,34,65,21.0,121,22349
90,85,56,80,50.0,170,213048
6,14,5,2,7.0,100,43310
8,47,22,13,43.0,126,129994
97,96,90,80,13.0,177,41727
51,62,74,88,98.0,176,138650
62,100,99,31,43.0,174,2379
13,8,4,36,2.0,106,235323
48,71,76,57,29.0,155,140869
69,68,70,63,4.0,151,167715
6,5,29,15,56.0,119,209795
60,72,57,97,83.0,175,113259
79,20,66,76,38.0,155,41258
91,95,79,74,87.0,184,108281
52,38,50,71,92.0,160,145825
42,22,55,87,89.0,160,138904
43,4,11,1,20.0,112,193679
6,12,31,77,21.0,131,209296
89,86,62,52,92.0,175,144119
37,49,52,91,27.0,154,141794
91,86,64,76,94.0,181,99034
19,73,42,24,47.0,140,28511
44,26,59,20,41.0,139,160255
55,68,53,74,34.0,156,59573
90,85,80,95,87.0,188,119874
68,25,62,19,56.0,145,47135
47,51,61,46,91.0,159,119598
79,48,91,70,57.0,165,100223
41,40,13,15,65.0,135,189577
91,62,40,42,71.0,161,79049
76,82,50,85,12.0,160,81555
32,6,43,29,18.0,128,99881
54,46,9,12,46.0,132,99870
41,77,100,68,25.0,165,7862
58,86,54,24,45.0,152,155036
65,69,84,33,99.0,171,16253
76,74,53,43,97.0,169,55949
90,91,100,63,45.0,180,197144
10,15,8,21,14.0,112,221908
100,89,69,56,26.0,174,90447
82,97,100,46,47.0,177,121018
61,51,36,31,47.0,145,176114
87,84,53,73,28.0,165,196480
33,13,82,34,33.0,140,65720
84,68,71,73,33.0,164,126304
4,46,36,38,76.0,138,226050
14,2,3,18,1.0,83,23553
25,25,2,7,40.0,116,188009
68,69,85,91,6.0,161,47886
25,7,21,44,84.0,136,181396
87,39,54,89,60.0,165,133850
42,14,2,69,30.0,127,121662
3,20,10,34,61.0,122,171132
43,61,81,84,80.0,168,35712
24,40,54,38,40.0,140,127962
3,4,2,16,5.0,97,236904
77,52,40,86,86.0,168,244410
17,54,36,64,56.0,144,123895
52,38,50,42,41.0,144,58314
63,10,60,28,8.0,133,75529
57,23,48,67,22.0,145,43665
94,31,75,72,32.0,162,18675
21,60,77,55,70.0,155,102192
52,63,39,34,46.0,146,231755
91,91,52,83,33.0,171,56743
19,30,55,17,19.0,131,171981
65,62,75,87,95.0,176,125609
61,95,82,78,44.0,170,146445
33,58,48,37,64.0,148,151919
94,95,71,96,94.0,194,221921
58,55,65,10,58.0,147,23129
63,42,90,88,53.0,165,99259
54,37,69,28,76.0,152,109677
64,52,74,51,82.0,162,23841
84,56,55,61,26.0,157,50659
51,33,46,47,59.0,146,123749
57,15,40,15,79.0,142,164493
15,42,29,69,29.0,138,196347
20,26,26,15,3.0,118,151354
65,93,82,81,8.0,163,148066
59,25,40,29,2.0,129,200378
53,68,88,36,90.0,166,161302
94,68,83,83,100.0,189,57275
51,74,100,56,88.0,175,116515
58,22,8,31,27.0,129,90060
74,78,67,93,94.0,181,159353
46,31,62,3,44.0,136,35050
63,47,94,16,33.0,151,9629
8,4,6,6,47.0,109,10880
97,70,96,74,30.0,177,234167
77,20,47,57,12.0,142,120434
98,83,99,98,84.0,200,89040
98,95,96,90,95.0,200,118703
1,2,3,12,7.0,93,124693
28,77,85,61,79.0,164,225990
73,79,81,56,89.0,173,153027
100,96,76,81,86.0,192,160153
18,13,29,21,79.0,133,102261
65,58,40,21,93.0,156,92364
26,1,10,9,31.0,111,240297
72,70,85,87,72.0,175,220325
28,10,30,49,43.0,132,114719
56,30,51,82,25.0,150,5827
4,9,6,2,81.0,114,241120
51,1,6,31,18.0,116,231071
88,93,92,99,91.0,197,108589
88,90,77,93,69.0,182,224172
7,10,4,8,65.0,114,25044
57,43,37,46,4.0,136,167142
22,42,23,6,57.0,130,168486
16,10,14,29,1.0,96,5453
91,62,29,69,27.0,157,117093
9,41,22,38,1.0,119,230836
4,16,18,4,46.0,116,23481
17,78,86,96,23.0,162,238034
45,46,25,57,45.0,143,72097
57,87,97,88,45.0,174,25146
5,16,15,22,20.0,117,213630
100,99,86,93,87.0,202,112407
10,25,12,1,57.0,117,237851
91,45,47,76,59.0,162,152554
81,59,71,60,18.0,157,143647
26,60,34,89,43.0,151,152058
44,38,32,32,70.0,144,188351
11,6,11,35,65.0,123,147436
85,75,86,70,45.0,169,10500
72,77,72,89,80.0,176,224498
27,10,13,10,8.0,113,206969
75,68,44,78,30.0,159,118129
88,95,94,76,97.0,191,217177
32,48,59,32,10.0,136,31976
85,88,81,97,96.0,191,205740
30,61,38,68,46.0,148,79650
64,38,4,91,52.0,146,214394
11,50,39,61,31.0,139,133513
20,65,61,59,71.0,154,120226
5,60,28,79,19.0,138,205273
28,16,22,59,52.0,135,38975
52,41,59,25,35.0,144,170584
68,54,36,21,67.0,149,84995
90,82,60,87,94.0,183,235997
91,80,77,76,96.0,183,110287
37,12,23,47,53.0,134,193331
13,16,21,3,17.0,116,84648
79,61,65,68,80.0,168,63788
15,5,10,6,13.0,108,201126
76,23,35,40,62.0,146,6532
58,75,71,93,36.0,166,51553
37,48,31,61,26.0,143,85634
37,14,20,70,79.0,144,228655
19,21,10,37,63.0,129,243008
60,42,21,40,14.0,136,1057
79,86,85,57,87.0,176,65800
28,8,29,37,36.0,129,182362
9,6,2,4,10.0,98,142992
36,86,45,77,52.0,158,132427
97,86,83,55,75.0,179,232847
93,93,88,97,91.0,195,140248
96,86,87,96,93.0,195,50793
24,54,59,24,47.0,141,145070
94,74,65,78,99.0,185,27889
40,59,36,73,63.0,153,61786
9,33,44,36,10.0,126,209928
34,17,8,19,1.0,97,186267
99,95,98,98,87.0,205,203372
4,48,71,28,57.0,138,231173
74,22,30,75,18.0,146,219464
12,18,1,44,66.0,121,108199
90,97,92,85,67.0,187,15371
76,84,81,82,73.0,176,225479
71,12,36,49,52.0,143,124243
45,49,62,65,54.0,152,236943
15,38,11,46,19.0,127,25158
68,27,31,37,20.0,139,181459
72,62,57,17,1.0,123,104636
60,25,11,69,72.0,146,215144
8,6,7,14,16.0,109,192073
89,88,87,100,92.0,209,215647
24,30,26,3,39.0,125,67271
57,89,76,64,36.0,163,71049
90,75,83,89,98.0,189,175519
49,60,76,41,63.0,155,232988
44,99,72,83,43.0,170,188865
91,94,99,73,30.0,181,64827
40,40,16,75,20.0,140,202849
89,96,79,94,86.0,191,127706
78,87,61,69,45.0,166,206688
96,93,77,88,1.0,154,3825
17,17,17,13,31.0,121,176178
1,5,11,4,3.0,95,43904
88,89,97,84,89.0,190,159008
63,24,49,52,75.0,152,47237
64,44,40,89,17.0,153,14370
45,34,25,65,16.0,138,6436
93,87,98,92,97.0,218,50172
31,10,11,2,43.0,117,148552
16,63,69,82,32.0,152,186137
87,54,59,43,77.0,163,62638
70,55,87,57,93.0,171,116203
9,26,8,8,14.0,112,217636
77,67,78,70,1.0,137,123421
15,32,22,54,18.0,130,26403
54,39,37,36,56.0,144,159205
90,94,88,77,12.0,171,58082
85,74,71,84,58.0,171,218417
84,82,88,83,21.0,171,216232
9,23,4,6,16.0,110,101086
66,24,26,76,4.0,138,164087
14,9,2,74,76.0,129,126198
93,29,50,64,77.0,163,213820
13,17,17,42,65.0,131,222967
53,57,67,72,6.0,148,1727
62,69,43,20,95.0,158,17601
77,76,91,80,78.0,178,15049
44,69,81,66,9.0,151,142587
48,11,17,70,61.0,139,89121
62,69,65,27,72.0,157,143447
28,54,26,31,61.0,139,246432
75,81,42,46,71.0,162,94587
59,6,6,6,7.0,113,123131
30,87,35,86,83.0,165,3390
44,72,40,61,47.0,151,5528
6,11,22,20,48.0,120,98269
77,68,57,38,16.0,151,67418
30,36,71,16,32.0,139,154551
3,8,6,15,22.0,108,135273
49,77,49,94,13.0,157,10110
46,91,57,73,86.0,169,82867
2,1,1,1,53.0,45,23332
60,45,45,42,33.0,146,231519
37,39,63,62,35.0,148,34498
36,12,26,53,71.0,140,37445
87,75,89,97,40.0,179,169711
92,79,84,55,38.0,168,92760
15,24,45,28,82.0,140,87353
6,8,6,21,13.0,108,242372
51,21,29,75,62.0,146,168580
42,53,63,23,25.0,143,229369
88,97,97,79,100.0,216,28074
41,74,72,90,63.0,166,160857
98,76,56,93,68.0,181,72929
72,75,4,89,24.0,150,167692
28,33,58,53,93.0,154,170433
88,78,93,81,96.0,187,133032
81,81,80,30,94.0,172,139843
44,4,15,11,35.0,121,121523
77,88,100,90,92.0,192,75164
59,33,60,60,1.0,123,47127
51,37,37,61,53.0,147,129990
65,49,57,60,55.0,154,135339
75,87,49,72,51.0,164,202765
17,57,10,30,36.0,130,208723
64,14,36,57,38.0,142,51241
31,67,47,62,34.0,148,70238
31,60,63,44,58.0,149,226463
81,32,40,26,80.0,152,157227
30,39,12,42,43.0,133,159962
23,54,25,4,31.0,129,25144
93,79,86,96,92.0,191,134075
47,61,23,51,83.0,152,182182
15,34,65,1,55.0,130,222692
45,74,80,92,13.0,160,211390
69,16,24,70,26.0,142,82437
5,9,10,18,2.0,104,150943
41,54,60,81,97.0,168,223433
17,28,45,70,63.0,144,180626
87,85,91,92,13.0,173,187808
57,80,59,71,52.0,161,192110
57,74,57,71,36.0,158,183862
29,28,20,39,9.0,126,18384
36,61,79,24,52.0,148,11164
64,72,70,79,48.0,163,224028
43,67,63,7,37.0,143,127029
52,34,29,74,38.0,146,112795
60,80,80,72,84.0,172,69338
69,74,94,60,56.0,167,153185
52,60,5,41,1.0,110,193418
54,87,91,78,76.0,175,136216
77,47,72,70,52.0,160,141555
73,67,74,60,1.0,134,233028
24,54,23,34,32.0,135,242833
13,54,8,21,7.0,118,96300
75,72,72,64,8.0,154,208352
21,18,8,8,3.0,110,105973
82,36,45,21,52.0,147,7714
93,71,53,66,87.0,173,218823
64,20,22,53,41.0,140,235119
58,44,7,7,96.0,142,146433
54,80,68,40,78.0,161,144056
68,57,92,50,88.0,169,110572
47,37,42,13,20.0,135,25021
90,97,99,93,17.0,185,124044
91,97,96,52,100.0,210,115661
46,68,47,83,52.0,157,48850
18,67,77,71,66.0,157,205139
82,68,79,13,23.0,154,52862
72,44,73,31,68.0,156,115567
55,52,49,76,94.0,165,140645
85,92,86,92,97.0,192,232309
88,81,91,62,98.0,184,237764
68,45,21,13,79.0,145,87022
40,33,74,17,42.0,141,102600
59,53,54,7,46.0,143,88125
48,13,26,8,22.0,127,58816
42,14,31,63,65.0,143,58706
16,1,18,57,51.0,123,86447
31,12,36,22,40.0,130,246127
4,7,2,59,7.0,107,177014
89,65,47,89,79.0,174,243780
8,59,59,28,52.0,139,26646
61,51,27,49,1.0,119,29641
65,57,43,90,74.0,166,113952
25,45,21,10,35.0,130,240569
17,80,78,76,68.0,161,5129
65,46,80,68,77.0,165,69871
65,100,100,77,76.0,191,113781
20,6,17,16,7.0,112,149359
15,18,81,35,63.0,141,143096
81,33,60,53,81.0,160,44169
99,97,92,82,25.0,185,207861
9,43,19,6,33.0,123,127882
92,90,76,83,1.0,149,89027
52,3,19,49,38.0,130,87618
83,81,100,94,89.0,194,101954
81,74,92,10,31.0,157,211805
88,94,78,33,96.0,178,157561
70,93,83,50,92.0,176,37954
30,30,29,14,3.0,121,57187
66,45,63,49,55.0,153,230059
12,3,4,22,27.0,110,182569
51,43,59,74,82.0,161,29284
32,56,42,19,91.0,149,57048
65,86,78,85,29.0,168,166152
62,67,77,24,63.0,155,104378
63,55,57,68,56.0,156,117021
74,62,54,53,27.0,154,226862
99,51,63,75,83.0,177,198811
21,18,12,41,34.0,126,171636
43,33,51,46,76.0,150,89067
22,45,65,53,45.0,145,8352
60,31,45,71,91.0,159,38557
61,60,71,71,83.0,167,109793
60,71,77,52,25.0,156,109364
49,39,59,61,35.0,149,164058
34,59,32,17,1.0,111,230194
88,94,85,92,91.0,190,164110
97,85,91,87,30.0,180,212756
31,91,93,99,91.0,185,223123
2,18,25,7,7.0,110,45225
31,33,33,93,88.0,159,232299
91,29,66,54,3.0,147,118267
75,92,96,92,95.0,192,107387
69,50,35,70,1.0,126,71991
59,83,65,76,7.0,155,189827
69,24,43,49,9.0,138,36133
22,58,91,36,50.0,150,39225
69,53,62,37,84.0,159,70890
69,36,45,16,65.0,146,125220
77,32,76,54,66.0,159,3434
87,48,83,82,78.0,174,98404
40,85,95,70,74.0,171,189034
96,64,76,90,66.0,179,53175
83,98,98,77,97.0,195,177751
70,86,36,89,58.0,166,37758
61,45,29,16,14.0,134,159506
59,98,87,92,99.0,192,174909
16,9,43,14,46.0,126,20179
49,42,69,6,25.0,139,77553
72,55,56,83,84.0,168,83092
38,7,9,29,6.0,115,94713
61,76,74,66,57.0,162,94633
65,72,85,88,87.0,177,230072
86,95,97,96,84.0,195,231543
56,67,53,77,68.0,162,172494
18,20,23,5,12.0,116,70717
56,60,46,75,94.0,166,60233
